IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.245.207.87,2087,0,false,ORD,North America,Chicago,200,0.00
34.245.207.87,8880,0,false,ORD,North America,Chicago,188,0.00
3.68.118.86,2082,0,false,ORD,North America,Chicago,188,0.00
3.96.173.26,2052,0,false,ORD,North America,Chicago,243,0.00
15.222.4.217,2082,0,false,ORD,North America,Chicago,241,0.00
3.96.173.26,2086,0,false,ORD,North America,Chicago,277,0.00
15.156.193.147,8443,0,false,ORD,North America,Chicago,254,0.00
3.96.190.161,2082,0,false,ORD,North America,Chicago,263,0.00
15.157.58.227,2096,0,false,ORD,North America,Chicago,263,0.00
15.157.58.227,8880,0,false,ORD,North America,Chicago,275,0.00
15.157.58.227,2095,0,false,ORD,North America,Chicago,256,0.00
35.182.238.24,2087,0,false,ORD,North America,Chicago,259,0.00
13.58.142.1,80,0,false,ORD,North America,Chicago,227,0.00
15.156.205.90,8880,0,false,ORD,North America,Chicago,269,0.00
3.96.173.26,2095,0,false,ORD,North America,Chicago,258,0.00
15.156.193.147,2083,0,false,ORD,North America,Chicago,241,0.00
3.96.138.198,80,0,false,ORD,North America,Chicago,263,0.00
15.156.193.147,80,0,false,ORD,North America,Chicago,281,0.00
35.182.238.24,2082,0,false,ORD,North America,Chicago,263,0.00
3.96.190.161,80,0,false,ORD,North America,Chicago,279,0.00
35.182.168.151,80,0,false,ORD,North America,Chicago,260,0.00
15.156.193.147,2053,0,false,ORD,North America,Chicago,253,0.00
15.157.58.227,2083,0,false,ORD,North America,Chicago,240,0.00
15.157.58.227,8080,0,false,ORD,North America,Chicago,256,0.00
3.96.173.26,8080,0,false,ORD,North America,Chicago,241,0.00
15.157.58.227,80,0,false,ORD,North America,Chicago,282,0.00
15.222.13.181,443,0,false,ORD,North America,Chicago,240,0.00
3.96.173.26,80,0,false,ORD,North America,Chicago,266,0.00
3.96.173.26,2087,0,false,ORD,North America,Chicago,265,0.00
15.222.13.181,8880,0,false,ORD,North America,Chicago,255,0.00
15.222.13.181,2052,0,false,ORD,North America,Chicago,258,0.00
3.96.173.26,8443,0,false,ORD,North America,Chicago,240,0.00
34.245.207.87,80,0,false,ORD,North America,Chicago,197,0.00
34.245.207.87,2086,0,false,ORD,North America,Chicago,200,0.00
35.182.238.24,2096,0,false,ORD,North America,Chicago,260,0.00
3.96.190.161,8880,0,false,ORD,North America,Chicago,256,0.00
3.96.138.198,2096,0,false,ORD,North America,Chicago,284,0.00
3.96.173.26,2096,0,false,ORD,North America,Chicago,258,0.00
15.222.13.181,80,0,false,ORD,North America,Chicago,265,0.00
15.222.4.217,2087,0,false,ORD,North America,Chicago,261,0.00
15.222.13.181,2096,0,false,ORD,North America,Chicago,251,0.00
18.144.44.254,2095,0,false,ORD,North America,Chicago,171,0.00
34.245.207.87,2083,0,false,ORD,North America,Chicago,202,0.00
35.182.238.24,443,0,false,ORD,North America,Chicago,246,0.00
15.222.13.181,2095,0,false,ORD,North America,Chicago,263,0.00
15.222.4.217,8443,0,false,ORD,North America,Chicago,282,0.00
15.157.58.227,2087,0,false,ORD,North America,Chicago,268,0.00
3.96.173.26,443,0,false,ORD,North America,Chicago,243,0.00
99.79.195.238,2083,0,false,ORD,North America,Chicago,275,0.00
18.144.44.254,2082,0,false,ORD,North America,Chicago,170,0.00
15.157.58.227,2053,0,false,ORD,North America,Chicago,254,0.00
15.222.13.181,2082,0,false,ORD,North America,Chicago,246,0.00
99.79.195.238,8880,0,false,ORD,North America,Chicago,275,0.00
34.245.207.87,2053,0,false,ORD,North America,Chicago,193,0.00
15.223.67.196,2053,0,false,ORD,North America,Chicago,263,0.00
99.79.195.238,2052,0,false,ORD,North America,Chicago,240,0.00
3.96.138.198,2082,0,false,ORD,North America,Chicago,256,0.00
99.79.195.238,2095,0,false,ORD,North America,Chicago,243,0.00
15.156.24.206,80,0,false,ORD,North America,Chicago,249,0.00
3.96.138.198,8080,0,false,ORD,North America,Chicago,243,0.00
99.79.195.238,8080,0,false,ORD,North America,Chicago,262,0.00
99.79.195.238,2087,0,false,ORD,North America,Chicago,240,0.00
35.182.238.24,2086,0,false,ORD,North America,Chicago,257,0.00
15.156.205.90,2086,0,false,ORD,North America,Chicago,240,0.00
3.68.118.86,2095,0,false,ORD,North America,Chicago,180,0.00
99.79.195.238,2082,0,false,ORD,North America,Chicago,240,0.00
15.222.13.181,8443,0,false,ORD,North America,Chicago,259,0.00
15.156.193.147,2082,0,false,ORD,North America,Chicago,260,0.00
3.96.138.198,2083,0,false,ORD,North America,Chicago,244,0.00
15.156.205.90,2082,0,false,ORD,North America,Chicago,256,0.00
35.182.238.24,80,0,false,ORD,North America,Chicago,275,0.00
99.79.195.238,80,0,false,ORD,North America,Chicago,247,0.00
3.68.118.86,2086,0,false,ORD,North America,Chicago,179,0.00
35.182.238.24,8080,0,false,ORD,North America,Chicago,240,0.00
99.79.195.238,2096,0,false,ORD,North America,Chicago,262,0.00
3.96.173.26,2053,0,false,ORD,North America,Chicago,260,0.00
3.96.138.198,2053,0,false,ORD,North America,Chicago,241,0.00
15.222.4.217,2083,0,false,ORD,North America,Chicago,260,0.00
15.156.205.90,8080,0,false,ORD,North America,Chicago,262,0.00
99.79.195.238,2086,0,false,ORD,North America,Chicago,282,0.00
15.237.84.29,8443,0,false,ORD,North America,Chicago,162,0.00
15.237.84.29,2096,0,false,ORD,North America,Chicago,200,0.00
15.156.205.90,80,0,false,ORD,North America,Chicago,263,0.00
15.156.205.90,2087,0,false,ORD,North America,Chicago,259,0.00
3.96.138.198,2095,0,false,ORD,North America,Chicago,263,0.00
15.222.13.181,8080,0,false,ORD,North America,Chicago,260,0.00
3.96.173.26,2083,0,false,ORD,North America,Chicago,241,0.00
3.96.138.198,2087,0,false,ORD,North America,Chicago,254,0.00
15.156.205.90,2095,0,false,ORD,North America,Chicago,243,0.00
15.222.4.217,8080,0,false,ORD,North America,Chicago,260,0.00
15.156.205.90,2096,0,false,ORD,North America,Chicago,240,0.00
15.237.84.29,8080,0,false,ORD,North America,Chicago,196,0.00
3.96.138.198,2052,0,false,ORD,North America,Chicago,247,0.00
15.237.84.29,8880,0,false,ORD,North America,Chicago,200,0.00
99.79.195.238,2053,0,false,ORD,North America,Chicago,254,0.00
18.144.44.254,8443,0,false,ORD,North America,Chicago,190,0.00
18.144.44.254,2053,0,false,ORD,North America,Chicago,187,0.00
99.79.195.238,8443,0,false,ORD,North America,Chicago,254,0.00
18.144.44.254,2086,0,false,ORD,North America,Chicago,171,0.00
13.51.14.7,80,0,false,ARN,Europe,Stockholm,187,0.00
35.182.238.24,2095,0,false,ORD,North America,Chicago,240,0.00
18.144.44.254,2052,0,false,ORD,North America,Chicago,177,0.00
18.144.44.254,80,0,false,ORD,North America,Chicago,166,0.00
18.144.44.254,2083,0,false,ORD,North America,Chicago,170,0.00
16.16.162.196,80,0,false,ARN,Europe,Stockholm,220,0.00
15.156.205.90,2053,0,false,ORD,North America,Chicago,254,0.00
13.51.105.208,80,0,false,ARN,Europe,Stockholm,203,0.00
18.144.44.254,443,0,false,ORD,North America,Chicago,194,0.00
13.246.201.148,8443,0,false,ORD,North America,Chicago,339,0.00
15.222.13.181,2083,0,false,ORD,North America,Chicago,254,0.00
13.245.197.227,2095,0,false,ORD,North America,Chicago,328,0.00
13.247.55.252,2096,0,false,ORD,North America,Chicago,321,0.00
13.247.62.71,443,0,false,ORD,North America,Chicago,343,0.00
13.245.138.79,8880,0,false,ORD,North America,Chicago,312,0.00
13.245.237.18,2086,0,false,ORD,North America,Chicago,317,0.00
13.247.59.148,2083,0,false,ORD,North America,Chicago,309,0.00
13.245.197.227,8080,0,false,ORD,North America,Chicago,337,0.00
13.245.28.155,8080,0,false,ORD,North America,Chicago,331,0.00
13.246.11.121,2095,0,false,ORD,North America,Chicago,332,0.00
13.245.229.15,8443,0,false,ORD,North America,Chicago,344,0.00
13.245.138.79,2052,0,false,ORD,North America,Chicago,325,0.00
13.247.59.148,2086,0,false,ORD,North America,Chicago,326,0.00
13.247.55.252,2052,0,false,ORD,North America,Chicago,321,0.00
13.246.227.86,2087,0,false,ORD,North America,Chicago,345,0.00
13.244.104.215,2086,0,false,ORD,North America,Chicago,325,0.00
13.213.39.29,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
13.246.201.148,8880,0,false,ORD,North America,Chicago,353,0.00
13.247.67.27,2086,0,false,ORD,North America,Chicago,345,0.00
13.244.104.215,2082,0,false,ORD,North America,Chicago,303,0.00
13.246.194.180,2053,0,false,ORD,North America,Chicago,341,0.00
13.245.197.227,2087,0,false,ORD,North America,Chicago,327,0.00
13.245.28.205,2096,0,false,ORD,North America,Chicago,317,0.00
13.247.55.252,8080,0,false,ORD,North America,Chicago,302,0.00
13.246.12.127,2053,0,false,ORD,North America,Chicago,355,0.00
13.247.55.252,2086,0,false,ORD,North America,Chicago,332,0.00
13.246.15.239,8443,0,false,ORD,North America,Chicago,324,0.00
13.246.201.148,443,0,false,ORD,North America,Chicago,321,0.00
13.246.227.86,2082,0,false,ORD,North America,Chicago,338,0.00
13.245.229.15,8880,0,false,ORD,North America,Chicago,334,0.00
13.246.194.180,8880,0,false,ORD,North America,Chicago,327,0.00
13.244.142.40,80,0,false,ORD,North America,Chicago,334,0.00
13.246.39.84,2087,0,false,ORD,North America,Chicago,310,0.00
